elapsed_time,sender,receiver,length
54.24448323249817,172.19.0.9,172.19.0.7,66
54.24523425102234,172.19.0.9,172.19.0.2,74
54.24598646163941,172.19.0.2,172.19.0.9,74
54.24677395820618,172.19.0.9,172.19.0.2,66
54.24763560295105,172.19.0.9,172.19.0.2,224
54.24835824966431,172.19.0.2,172.19.0.9,66
54.25199365615845,172.19.0.2,172.19.0.9,2009
54.25277018547058,172.19.0.9,172.19.0.2,66
54.253498554229736,172.19.0.9,172.19.0.2,66
54.25423455238342,172.19.0.2,172.19.0.9,66
54.25500917434693,172.19.0.9,172.19.0.2,66
54.25576734542847,172.19.0.9,172.17.0.1,74
54.25653433799744,172.17.0.1,172.19.0.9,74
54.2572455406189,172.19.0.9,172.17.0.1,66
54.258025884628296,172.19.0.9,172.17.0.1,289
54.258750915527344,172.17.0.1,172.19.0.9,66
54.26584625244141,172.19.0.9,172.17.0.1,3527
54.266600131988525,172.17.0.1,172.19.0.9,66
54.47818279266357,172.19.0.1,172.19.0.9,74
54.47903990745544,172.19.0.9,172.19.0.1,74
54.4797842502594,172.19.0.1,172.19.0.9,66
54.48053741455078,172.19.0.1,172.19.0.9,306
54.48122763633728,172.19.0.9,172.19.0.1,66
54.48301649093628,172.19.0.1,172.19.0.9,347
54.48386192321777,172.19.0.9,172.19.0.1,66
54.4847104549408,172.19.0.9,172.19.0.2,74
54.48549389839173,172.19.0.2,172.19.0.9,74
54.48619818687439,172.19.0.9,172.19.0.2,66
54.487104177474976,172.19.0.9,172.19.0.2,224
54.48781800270081,172.19.0.2,172.19.0.9,66
54.49160242080689,172.19.0.2,172.19.0.9,2009
54.49237847328186,172.19.0.9,172.19.0.2,66
54.49313473701477,172.19.0.9,172.19.0.2,66
54.4939169883728,172.19.0.2,172.19.0.9,66
54.49467778205872,172.19.0.9,172.19.0.2,66
